"Team Name","week","PV Actual","Articles"
"Online Web","week9","59,271","171"
"Online Originals","week9","1,909","19"
"Channel","week9","2,256","40"
"รายการเศรษฐกิจ","week9","3,465","82"
"World","week9","7,357","53"
"Wealth","week9","4,305","82"
"Health","week9","4,567","33"
"Tech","week9","4,704","55"
"Earth","week9","4,954","62"
"Outsource","week9","1,170","4"
"TVS","week9","7,813","87"
"Online Web","week10","",""
"Online Originals","week10","",""
"Channel","week10","",""
"รายการเศรษฐกิจ","week10","",""
"World","week10","",""
"Wealth","week10","",""
"Health","week10","",""
"Tech","week10","",""
"Earth","week10","",""
"Outsource","week10","",""
"TVS","week10","",""
"Online Web","week11","",""
"Online Originals","week11","",""
"Channel","week11","",""
"รายการเศรษฐกิจ","week11","",""
"World","week11","",""
"Wealth","week11","",""
"Health","week11","",""
"Tech","week11","",""
"Earth","week11","",""
"Outsource","week11","",""
"TVS","week11","",""